
2024/ 5/21, 13:48:35 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/21, 14:49:13 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
63	0	21.000000	18.375000	10101110001100011110
64	0	21.000000	15.750000	10101110001100011110
65	0	21.000000	15.750000	10101110001100011110
66	0	21.000000	13.125000	10101110001100011110
67	0	21.000000	10.500000	10101110001100011110
68	0	21.000000	15.750000	10101110001100011110
69	0	21.000000	13.125000	10101110001100011110
70	0	21.000000	18.375000	10101110001100011110
71	0	21.000000	15.750000	10101110001100011110
72	0	21.000000	15.750000	10101110001100011110
73	0	21.000000	18.375000	10101110001100011110
74	0	21.000000	18.375000	10101110001100011110
75	0	21.000000	21.000000	10101110001100011110
76	0	21.000000	18.375000	10101110001100011110
77	0	21.000000	15.750000	10101110001100011110
78	0	21.000000	10.500000	10101110001100011110
79	0	21.000000	15.750000	10101110001100011110
80	0	21.000000	18.375000	10101110001100011110
81	0	21.000000	18.375000	10101110001100011110
82	0	21.000000	13.125000	10101110001100011110
83	0	21.000000	15.750000	10101110001100011110
84	0	21.000000	15.750000	10101110001100011110
85	0	21.000000	18.375000	10101110001100011110
86	0	21.000000	15.750000	10101110001100011110
87	0	21.000000	15.750000	10101110001100011110
88	0	21.000000	13.125000	10101110001100011110
89	0	21.000000	13.125000	10101110001100011110
90	0	21.000000	15.750000	10101110001100011110
91	0	21.000000	15.750000	10101110001100011110
92	0	21.000000	18.375000	10101110001100011110
93	0	21.000000	15.750000	10101110001100011110
94	0	21.000000	13.125000	10101110001100011110
95	0	21.000000	18.375000	10101110001100011110
96	0	21.000000	21.000000	10101110001100011110
97	0	21.000000	13.125000	10101110001100011110
98	0	21.000000	10.500000	10101110001100011110
99	0	21.000000	15.750000	10101110001100011110

2024/ 5/22, 19:25: 3 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
0	0	21.000000	2.625000	10100000001101110011
1	0	21.000000	10.500000	10100000001101110011
2	0	21.000000	15.750000	10100000001101110011
3	0	21.000000	15.750000	10100000001101110011
4	0	21.000000	15.750000	10100000001101110011
5	0	21.000000	18.375000	10100000001101110011
6	0	21.000000	18.375000	10100000001101110011
7	0	21.000000	13.125000	10100000001101110011
8	0	21.000000	10.500000	10100000001101110011
9	0	21.000000	18.375000	10100000001101110011
10	0	21.000000	13.125000	10100000001101110011
11	0	21.000000	21.000000	10100000001101110011
12	0	21.000000	15.750000	10100000001101110011
13	0	21.000000	18.375000	10100000001101110011
14	0	21.000000	15.750000	10100000001101110011
15	0	21.000000	13.125000	10100000001101110011
16	0	21.000000	18.375000	10100000001101110011
17	0	21.000000	18.375000	10100000001101110011
18	0	21.000000	18.375000	10100000001101110011
19	0	21.000000	13.125000	10100000001101110011
20	0	21.000000	10.500000	10100000001101110011
21	0	21.000000	7.875000	10100000001101110011
22	0	21.000000	18.375000	10100000001101110011
23	0	21.000000	13.125000	10100000001101110011
24	0	21.000000	13.125000	10100000001101110011
25	0	21.000000	18.375000	10100000001101110011
26	0	21.000000	18.375000	10100000001101110011
27	0	21.000000	15.750000	10100000001101110011
28	0	21.000000	13.125000	10100000001101110011
29	0	21.000000	18.375000	10100000001101110011
30	0	21.000000	18.375000	10100000001101110011
31	0	21.000000	13.125000	10100000001101110011
32	0	21.000000	15.750000	10100000001101110011
33	0	21.000000	13.125000	10100000001101110011
34	0	21.000000	13.125000	10100000001101110011
35	0	21.000000	18.375000	10100000001101110011
36	0	21.000000	21.000000	10100000001101110011
37	0	21.000000	18.375000	10100000001101110011
38	0	21.000000	18.375000	10100000001101110011
39	0	21.000000	10.500000	10100000001101110011
40	0	21.000000	13.125000	10100000001101110011
41	0	21.000000	10.500000	10100000001101110011
42	0	21.000000	15.750000	10100000001101110011
43	0	21.000000	10.500000	10100000001101110011
44	0	21.000000	13.125000	10100000001101110011
45	0	21.000000	15.750000	10100000001101110011
46	0	21.000000	21.000000	10100000001101110011
47	0	21.000000	10.500000	10100000001101110011
48	0	21.000000	15.750000	10100000001101110011
49	0	21.000000	13.125000	10100000001101110011
50	0	21.000000	18.375000	10100000001101110011
51	0	21.000000	18.375000	10100000001101110011
52	0	21.000000	15.750000	10100000001101110011
53	0	21.000000	18.375000	10100000001101110011
54	0	21.000000	18.375000	10100000001101110011
55	0	21.000000	15.750000	10100000001101110011
56	0	21.000000	18.375000	10100000001101110011
57	0	21.000000	15.750000	10100000001101110011
58	0	21.000000	18.375000	10100000001101110011
59	0	21.000000	18.375000	10100000001101110011
60	0	21.000000	15.750000	10100000001101110011
61	0	21.000000	13.125000	10100000001101110011
62	0	21.000000	18.375000	10100000001101110011
63	0	21.000000	13.125000	10100000001101110011
64	0	21.000000	18.375000	10100000001101110011
65	0	21.000000	18.375000	10100000001101110011
66	0	21.000000	13.125000	10100000001101110011
67	0	21.000000	15.750000	10100000001101110011
68	0	21.000000	10.500000	10100000001101110011
69	0	21.000000	18.375000	10100000001101110011
70	0	21.000000	15.750000	10100000001101110011
71	0	21.000000	15.750000	10100000001101110011
72	0	21.000000	18.375000	10100000001101110011
73	0	21.000000	13.125000	10100000001101110011
74	0	21.000000	10.500000	10100000001101110011
75	0	21.000000	15.750000	10100000001101110011
76	0	21.000000	21.000000	10100000001101110011
